Organoids,Index,y.name,OT,OrganoidsDrug,Drug,Time-point,Apoptotic.ratio,,
SNU-4351S4-TO,1,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO TAS-102,TAS-102, 0-1,6.334698978,,
SNU-4351S1-5-TO,1,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO TAS-102,TAS-102, 0-1,12.3651309,,
SNU-4351S1-7-TO,1,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO TAS-102,TAS-102, 0-1,26.68405682,,
SNU-4351S2-3-TO,1,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO TAS-102,TAS-102, 0-1,23.86065351,,
SNU-4351S2-4-TO,1,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO TAS-102,TAS-102, 0-1,28.65690228,,
SNU-4351S3-1-TO,1,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO TAS-102,TAS-102, 0-1,7.696809599,,
SNU-4351S3-2-TO,1,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO TAS-102,TAS-102, 0-1,18.58900103,,
SNU-4351S3-7-TO,1,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO TAS-102,TAS-102, 0-1,32.05431009,,
SNU-4351S3-8-TO,1,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO TAS-102,TAS-102, 0-1,6.998025602,,
SNU-4351S4-1-TO,1,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO TAS-102,TAS-102, 0-1,23.67929261,,
SNU-4351S4-2-TO,1,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO TAS-102,TAS-102, 0-1,33.22902902,,
SNU-4351S4-3-TO,1,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO TAS-102,TAS-102, 0-1,12.64523289,,
SNU-4351S4-4-TO,1,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO TAS-102,TAS-102, 0-1,4.821628136,,
SNU-4351S4-5-TO,1,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO TAS-102,TAS-102, 0-1,29.26885851,,
SNU-4351S4-6-TO,1,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO TAS-102,TAS-102, 0-1,11.31669686,,
SNU-4351S4-7-TO,1,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO TAS-102,TAS-102, 0-1,26.09571701,,
SNU-4351S4-TO,1,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO TAS-102,TAS-102, 1-2,13.44451116,,
SNU-4351S1-5-TO,1,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO TAS-102,TAS-102, 1-2,28.82091201,,
SNU-4351S1-7-TO,1,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO TAS-102,TAS-102, 1-2,2.296099088,,
SNU-4351S2-3-TO,1,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO TAS-102,TAS-102, 1-2,46.39013239,,
SNU-4351S2-4-TO,1,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO TAS-102,TAS-102, 1-2,26.48764047,,
SNU-4351S3-1-TO,1,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO TAS-102,TAS-102, 1-2,2.102616257,,
SNU-4351S3-2-TO,1,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO TAS-102,TAS-102, 1-2,19.62535336,,
SNU-4351S3-7-TO,1,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO TAS-102,TAS-102, 1-2,-1.474995664,,
SNU-4351S3-8-TO,1,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO TAS-102,TAS-102, 1-2,11.978483,,
SNU-4351S4-1-TO,1,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO TAS-102,TAS-102, 1-2,17.01180498,,
SNU-4351S4-2-TO,1,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO TAS-102,TAS-102, 1-2,-5,,
